Внесено TextBox new: 27.02.2023, время: 17:23:23 
Внесено TextBox: 28.02.2023, время: 22:44:13 
Внесено TextBox: 28.02.2023, время: 22:44:28 
Внесено TextBox: 28.02.2023, время: 22:47:36 
Внесено TextBox: 28.02.2023, время: 22:47:49 
Внесено TextBox: 28.02.2023, время: 23:00:01 
Внесено TextBox1: 28.02.2023, время: 23:03:54 
Внесено TextBox2: 28.02.2023, время: 23:07:08 
Внесено TextBox2: 28.02.2023, время: 23:08:16 
Внесено TextBox4: 28.02.2023, время: 23:18:53 
Внесено TextBox2: 28.02.2023, время: 23:19:21 
Внесено TextBox: 08.04.2023, время: 17:23:49 
Внесено 123: 08.04.2023, время: 17:24:07 
